Unnamed: 0,Id,Label,User_ID,User_Language,User_Country,verified,followers_count,image
0,0,NoBody,0,NoBody,NoBody,NoBody,NoBody,NoBody
1,1,umpoucodistante,1000027699010818048,Portuguese,Undefined_(Portuguese),False,56,1000027699010818048.png
2,2,buugsprout,1000062414631723009,English,Undefined_(English),False,584,1000062414631723009.png
3,3,ButtiMariella,1000094172890697728,Portuguese,Undefined_(Portuguese),False,67,1000094172890697728.png
4,4,stilinskisses,1000134917643276288,Portuguese,United States,False,592,1000134917643276288.png
5,5,WhelleyIzidro,1000161706352537601,English,Brazil,False,286,1000161706352537601.png
6,6,DiegoOAnatol,1000310054,Spanish,Spain,False,425,1000310054.png
7,7,_vtnh,1000417292,English,Undefined_(English),False,119,1000417292.png
8,8,germanorafaelly,1000430886,Portuguese,Brazil,False,884,1000430886.png
9,9,AlessandroZ0802,1000440075652608006,English,Undefined_(English),False,120,1000440075652608006.png
10,10,hta_ovg,1000444353322549250,Portuguese,Undefined_(Portuguese),False,161,1000444353322549250.png
11,11,probablyrobin_,1000491433395150848,English,United States,False,298,1000491433395150848.png
12,12,mvellosa1,1000541161470267393,Portuguese,Brazil,False,116,1000541161470267393.png
13,13,OldSchoolDigger,1000589608978141184,Portuguese,Undefined_(Portuguese),False,297,1000589608978141184.png
14,14,digital_duck,1000612145036517376,Unavailable_Lang_(Restricted),Unavailable_Country_(Restricted),False,11606,1000612145036517376.png
15,15,_mgabimartins,1000730544760647682,Portuguese,Brazil,False,179,1000730544760647682.png
16,16,FoursixVader,1000909069476081664,English,Undefined_(English),False,38,1000909069476081664.png
17,17,OrlandoCesar5,1000914636,Portuguese,Brazil,False,34,1000914636.png
18,18,Archarzel,1001179825,English,Undefined_(English),False,1853,1001179825.png
19,19,MattheusBelo,1001278788,Portuguese,Undefined_(Portuguese),False,538,1001278788.png
20,20,ResearchGermany,1001390960,Unavailable_Lang_(Restricted),Unavailable_Country_(Restricted),False,130412,1001390960.png
