Source,Target,Type,Id,Tweet_type,Tweet_Sentiment_Group,Media_included,Source_device,Retweet_count,Like_count,Time,Weight
1536,6904,Directed,0,retweeted,Neutral,Yes,Web-App,26,0,2022-06-19 17:01:44+00:00,1
3488,6904,Directed,1,retweeted,Neutral,Yes,Android,26,0,2022-06-19 16:41:58+00:00,1
538,6904,Directed,2,retweeted,Neutral,Yes,iphone,26,0,2022-06-19 16:38:17+00:00,1
12116,6904,Directed,3,retweeted,Neutral,Yes,Android,26,0,2022-06-19 15:56:54+00:00,1
5209,6904,Directed,4,retweeted,Neutral,Yes,iphone,26,0,2022-06-19 15:53:54+00:00,1
8853,6904,Directed,5,retweeted,Neutral,Yes,Web-App,26,0,2022-06-19 15:53:07+00:00,1
5095,7113,Directed,6,retweeted,Neutral,No,Android,11,0,2022-06-19 15:36:54+00:00,1
609,6904,Directed,7,retweeted,Neutral,Yes,Web-App,5,0,2022-06-19 13:54:27+00:00,1
7951,6904,Directed,8,retweeted,Neutral,Yes,Android,26,0,2022-06-19 03:59:00+00:00,1
10114,6904,Directed,9,retweeted,Neutral,Yes,Android,26,0,2022-06-19 03:34:59+00:00,1
4896,6904,Directed,10,retweeted,Neutral,Yes,Android,26,0,2022-06-19 00:21:34+00:00,1
758,11143,Directed,11,retweeted,Positive,Yes,iphone,4,0,2022-06-18 23:33:38+00:00,1
5095,2857,Directed,12,retweeted,Neutral,Yes,Android,195,0,2022-06-18 23:00:06+00:00,1
5095,6904,Directed,13,retweeted,Neutral,Yes,Android,26,0,2022-06-18 22:57:56+00:00,1
2426,6904,Directed,14,retweeted,Neutral,Yes,Web-App,5,0,2022-06-18 22:46:44+00:00,1
12211,6904,Directed,15,retweeted,Neutral,Yes,Android,26,0,2022-06-18 22:29:29+00:00,1
5507,6904,Directed,16,retweeted,Neutral,Yes,Android,26,0,2022-06-18 21:53:45+00:00,1
5140,8543,Directed,17,quoted,Neutral,No,Android,0,1,2022-06-18 19:37:32+00:00,1
1054,6904,Directed,18,retweeted,Neutral,Yes,Android,5,0,2022-06-18 19:00:48+00:00,1
266,6904,Directed,19,retweeted,Neutral,Yes,Android,5,0,2022-06-18 18:58:32+00:00,1
1548,6904,Directed,20,retweeted,Neutral,Yes,Android,26,0,2022-06-18 18:55:48+00:00,1
9492,6904,Directed,21,retweeted,Neutral,Yes,Web-App,26,0,2022-06-18 18:52:33+00:00,1
7519,6904,Directed,22,retweeted,Neutral,Yes,Android,5,0,2022-06-18 18:20:22+00:00,1
1654,11143,Directed,23,retweeted,Positive,Yes,Web-App,4,0,2022-06-18 18:02:44+00:00,1
6904,11143,Directed,24,quoted,Neutral,Yes,iphone,5,35,2022-06-18 17:56:16+00:00,1
6855,4910,Directed,25,replied_to,Neutral,No,Android,0,2,2022-06-18 17:46:31+00:00,1
6855,6904,Directed,26,retweeted,Neutral,Yes,Android,26,0,2022-06-18 17:45:37+00:00,1
905,4910,Directed,27,replied_to,Neutral,No,Web-App,0,2,2022-06-18 17:42:43+00:00,1
9985,11143,Directed,28,retweeted,Positive,Yes,Web-App,4,0,2022-06-18 16:47:49+00:00,1
11143,0,Directed,29,Tweet,Positive,Yes,Web-App,4,19,2022-06-18 16:45:34+00:00,1
609,6904,Directed,30,retweeted,Neutral,Yes,Web-App,26,0,2022-06-18 16:38:50+00:00,1
11770,6904,Directed,31,retweeted,Neutral,Yes,Web-App,26,0,2022-06-18 15:49:04+00:00,1
2426,6904,Directed,32,retweeted,Neutral,Yes,Android,26,0,2022-06-18 15:48:02+00:00,1
887,6904,Directed,33,retweeted,Neutral,Yes,iphone,26,0,2022-06-18 15:32:32+00:00,1
10492,6904,Directed,34,retweeted,Neutral,Yes,iphone,26,0,2022-06-18 15:04:35+00:00,1
9933,6904,Directed,35,retweeted,Neutral,Yes,iphone,26,0,2022-06-18 13:56:33+00:00,1
4255,6904,Directed,36,retweeted,Neutral,Yes,iphone,26,0,2022-06-18 13:10:19+00:00,1
7056,6904,Directed,37,retweeted,Neutral,Yes,Android,26,0,2022-06-18 12:25:15+00:00,1
8448,6904,Directed,38,retweeted,Neutral,Yes,Android,26,0,2022-06-18 12:24:37+00:00,1
6904,4910,Directed,39,quoted,Neutral,Yes,iphone,26,152,2022-06-18 12:18:11+00:00,1
6262,8543,Directed,40,retweeted,Neutral,No,Android,37,0,2022-06-18 01:10:47+00:00,1
11903,8531,Directed,41,retweeted,Neutral,Yes,iphone,160,0,2022-06-17 19:24:45+00:00,1
4393,4495,Directed,42,quoted,Neutral,No,Android,0,1,2022-06-15 22:55:43+00:00,1
4393,4495,Directed,43,quoted,Neutral,Yes,Android,0,0,2022-06-15 21:55:03+00:00,1
1501,5156,Directed,44,retweeted,Negative,Yes,Android,24,0,2022-06-15 01:45:18+00:00,1
6397,7113,Directed,45,retweeted,Neutral,No,Android,11,0,2022-06-14 11:10:36+00:00,1
9544,7113,Directed,46,retweeted,Neutral,No,Android,11,0,2022-06-13 22:25:43+00:00,1
10124,7113,Directed,47,retweeted,Neutral,No,iphone,11,0,2022-06-13 21:55:48+00:00,1
2737,6904,Directed,48,retweeted,Neutral,Yes,Android,9,0,2022-06-13 21:45:20+00:00,1
2440,7113,Directed,49,retweeted,Neutral,No,Android,11,0,2022-06-13 21:12:00+00:00,1
880,7113,Directed,50,retweeted,Neutral,No,Android,11,0,2022-06-13 20:59:43+00:00,1
6356,7113,Directed,51,retweeted,Neutral,No,Android,11,0,2022-06-13 20:58:44+00:00,1
5107,7113,Directed,52,retweeted,Neutral,No,iphone,11,0,2022-06-13 20:55:28+00:00,1
12136,7113,Directed,53,retweeted,Neutral,No,Web-App,11,0,2022-06-13 20:38:16+00:00,1
6904,7113,Directed,54,retweeted,Neutral,No,iphone,11,0,2022-06-13 20:37:46+00:00,1
4075,6904,Directed,55,retweeted,Neutral,Yes,Android,9,0,2022-06-13 18:14:18+00:00,1
9987,8543,Directed,56,retweeted,Neutral,No,Web-App,37,0,2022-06-13 18:05:28+00:00,1
3143,266,Directed,57,retweeted,Neutral,Yes,Android,7,0,2022-06-13 17:12:02+00:00,1
4905,8543,Directed,58,retweeted,Neutral,No,Android,37,0,2022-06-13 16:32:15+00:00,1
6904,11036,Directed,59,replied_to,Neutral,No,iphone,0,0,2022-06-13 15:46:39+00:00,1
7113,7989,Directed,60,quoted,Neutral,No,Web-App,11,42,2022-06-13 15:15:05+00:00,1
4844,6904,Directed,61,retweeted,Neutral,Yes,Android,9,0,2022-06-13 14:59:02+00:00,1
4844,7645,Directed,62,replied_to,Neutral,No,Android,0,2,2022-06-13 14:48:41+00:00,1
6913,6904,Directed,63,retweeted,Neutral,Yes,iphone,9,0,2022-06-13 14:39:16+00:00,1
12289,8543,Directed,64,retweeted,Neutral,No,Android,37,0,2022-06-13 14:26:28+00:00,1
1654,6904,Directed,65,retweeted,Neutral,Yes,Web-App,9,0,2022-06-13 13:48:08+00:00,1
10492,6904,Directed,66,retweeted,Neutral,Yes,iphone,9,0,2022-06-13 13:38:50+00:00,1
7311,6904,Directed,67,retweeted,Neutral,Yes,Web-App,9,0,2022-06-13 13:11:34+00:00,1
7056,6904,Directed,68,retweeted,Neutral,Yes,Android,9,0,2022-06-13 13:09:47+00:00,1
6904,7095,Directed,69,quoted,Neutral,Yes,iphone,9,79,2022-06-13 13:02:54+00:00,1
5333,8543,Directed,70,retweeted,Neutral,No,Android,37,0,2022-06-13 11:39:56+00:00,1
1442,266,Directed,71,retweeted,Neutral,Yes,Web-App,7,0,2022-06-13 03:44:29+00:00,1
1654,266,Directed,72,retweeted,Neutral,Yes,Web-App,7,0,2022-06-13 03:40:47+00:00,1
6936,8543,Directed,73,retweeted,Neutral,No,Android,37,0,2022-06-13 02:03:52+00:00,1
6319,8543,Directed,74,retweeted,Neutral,No,Android,37,0,2022-06-13 01:48:40+00:00,1
10103,8543,Directed,75,retweeted,Neutral,No,Android,37,0,2022-06-13 01:42:46+00:00,1
10736,8543,Directed,76,retweeted,Neutral,No,iphone,37,0,2022-06-13 01:37:30+00:00,1
1611,5107,Directed,77,retweeted,Positive,Yes,Web-App,10,0,2022-06-13 00:36:08+00:00,1
7917,8543,Directed,78,retweeted,Neutral,No,Android,37,0,2022-06-12 23:57:44+00:00,1
5830,8543,Directed,79,retweeted,Neutral,No,iphone,37,0,2022-06-12 23:25:26+00:00,1
2950,8543,Directed,80,retweeted,Neutral,No,Android,37,0,2022-06-12 23:16:57+00:00,1
2737,7498,Directed,81,quoted,Neutral,Yes,Android,0,2,2022-06-12 23:10:27+00:00,1
5463,8543,Directed,82,retweeted,Neutral,No,iphone,37,0,2022-06-12 22:47:17+00:00,1
6104,8543,Directed,83,retweeted,Neutral,No,Android,37,0,2022-06-12 22:44:54+00:00,1
1352,8543,Directed,84,retweeted,Neutral,No,Android,37,0,2022-06-12 20:28:42+00:00,1
6396,8543,Directed,85,retweeted,Neutral,No,Android,37,0,2022-06-12 20:23:16+00:00,1
2034,8543,Directed,86,retweeted,Neutral,No,Android,37,0,2022-06-12 20:09:40+00:00,1
6792,8543,Directed,87,retweeted,Neutral,No,Android,37,0,2022-06-12 19:46:26+00:00,1
7243,8543,Directed,88,retweeted,Neutral,No,Android,37,0,2022-06-12 18:48:30+00:00,1
7311,7957,Directed,89,retweeted,Neutral,Yes,Web-App,2,0,2022-06-12 18:27:14+00:00,1
9732,8543,Directed,90,retweeted,Neutral,No,Android,37,0,2022-06-12 17:39:25+00:00,1
5198,8543,Directed,91,quoted,Neutral,No,Android,0,1,2022-06-12 17:32:59+00:00,1
8151,2942,Directed,92,retweeted,Neutral,Yes,Android,13,0,2022-06-12 17:30:29+00:00,1
6904,8543,Directed,93,retweeted,Neutral,No,iphone,37,0,2022-06-12 16:33:37+00:00,1
6904,7957,Directed,94,retweeted,Neutral,Yes,iphone,2,0,2022-06-12 16:33:22+00:00,1
9737,8543,Directed,95,retweeted,Neutral,No,Android,37,0,2022-06-12 16:00:46+00:00,1
6090,8543,Directed,96,retweeted,Neutral,No,Android,37,0,2022-06-12 15:57:48+00:00,1
6653,8543,Directed,97,retweeted,Neutral,No,Web-App,37,0,2022-06-12 15:25:48+00:00,1
6951,8543,Directed,98,retweeted,Neutral,No,iphone,37,0,2022-06-12 14:45:46+00:00,1
6477,8543,Directed,99,retweeted,Neutral,No,Android,37,0,2022-06-12 14:27:56+00:00,1
7957,8543,Directed,100,quoted,Neutral,Yes,Android,2,6,2022-06-12 14:02:42+00:00,1
4550,8543,Directed,101,retweeted,Neutral,No,Web-App,37,0,2022-06-12 13:45:12+00:00,1
10496,8543,Directed,102,retweeted,Neutral,No,Web-App,37,0,2022-06-12 13:34:03+00:00,1
8294,8543,Directed,103,retweeted,Neutral,No,iphone,37,0,2022-06-12 13:33:54+00:00,1
1536,8543,Directed,104,retweeted,Neutral,No,Android,37,0,2022-06-12 13:31:03+00:00,1
5107,8543,Directed,105,retweeted,Neutral,No,iphone,37,0,2022-06-12 13:28:25+00:00,1
7665,8543,Directed,106,retweeted,Neutral,No,Android,37,0,2022-06-12 13:27:41+00:00,1
8543,8543,Directed,107,replied_to,Neutral,No,Web-App,37,153,2022-06-12 13:11:47+00:00,1
554,2857,Directed,108,retweeted,Neutral,Yes,Android,195,0,2022-06-12 11:31:49+00:00,1
554,2942,Directed,109,retweeted,Neutral,Yes,Android,13,0,2022-06-12 11:31:39+00:00,1
554,11240,Directed,110,quoted,Positive,Yes,Android,0,2,2022-06-12 11:31:31+00:00,1
4894,5182,Directed,111,retweeted,Neutral,Yes,Android,4,0,2022-06-12 11:23:17+00:00,1
8437,5182,Directed,112,retweeted,Neutral,Yes,iphone,4,0,2022-06-12 11:18:29+00:00,1
8437,11240,Directed,113,replied_to,Neutral,No,iphone,0,4,2022-06-12 11:18:09+00:00,1
8437,6904,Directed,114,retweeted,Neutral,Yes,iphone,5,0,2022-06-12 11:17:32+00:00,1
8437,2942,Directed,115,retweeted,Neutral,Yes,iphone,13,0,2022-06-12 11:17:19+00:00,1
1976,266,Directed,116,retweeted,Neutral,Yes,Web-App,7,0,2022-06-12 11:07:26+00:00,1
3674,5107,Directed,117,retweeted,Positive,Yes,Web-App,10,0,2022-06-12 10:09:54+00:00,1
880,266,Directed,118,retweeted,Neutral,Yes,Android,7,0,2022-06-12 09:20:50+00:00,1
5107,266,Directed,119,retweeted,Neutral,Yes,iphone,7,0,2022-06-12 09:14:38+00:00,1
266,5107,Directed,120,quoted,Neutral,Yes,Android,7,16,2022-06-12 09:04:24+00:00,1
1105,5107,Directed,121,retweeted,Positive,Yes,iphone,10,0,2022-06-12 04:01:34+00:00,1
4628,2857,Directed,122,retweeted,Neutral,Yes,Android,195,0,2022-06-12 03:46:47+00:00,1
11532,5107,Directed,123,retweeted,Positive,Yes,Web-App,10,0,2022-06-12 03:26:23+00:00,1
11256,5107,Directed,124,retweeted,Positive,Yes,Web-App,10,0,2022-06-12 03:23:47+00:00,1
3515,2857,Directed,125,retweeted,Neutral,Yes,Web-App,195,0,2022-06-12 02:11:31+00:00,1
10197,5107,Directed,126,retweeted,Positive,Yes,Web-App,10,0,2022-06-12 01:58:02+00:00,1
4625,2942,Directed,127,retweeted,Neutral,Yes,Web-App,13,0,2022-06-12 01:32:34+00:00,1
11444,5107,Directed,128,retweeted,Positive,Yes,iphone,10,0,2022-06-12 00:55:14+00:00,1
307,5107,Directed,129,retweeted,Positive,Yes,Web-App,10,0,2022-06-11 22:27:06+00:00,1
11240,5107,Directed,130,retweeted,Positive,Yes,Web-App,10,0,2022-06-11 22:25:45+00:00,1
5107,0,Directed,131,Tweet,Positive,Yes,iphone,10,55,2022-06-11 22:13:44+00:00,1
5107,2942,Directed,132,retweeted,Neutral,Yes,iphone,13,0,2022-06-11 22:00:15+00:00,1
5107,6904,Directed,133,retweeted,Neutral,Yes,iphone,5,0,2022-06-11 21:54:10+00:00,1
5107,2857,Directed,134,retweeted,Neutral,Yes,iphone,195,0,2022-06-11 21:52:46+00:00,1
2760,6904,Directed,135,retweeted,Neutral,Yes,Web-App,5,0,2022-06-11 18:54:48+00:00,1
3681,2857,Directed,136,retweeted,Neutral,Yes,Android,195,0,2022-06-11 18:04:32+00:00,1
5096,4360,Directed,137,retweeted,Neutral,Yes,Web-App,16,0,2022-06-11 17:54:40+00:00,1
3894,2857,Directed,138,retweeted,Neutral,Yes,Android,195,0,2022-06-11 17:34:21+00:00,1
6977,2857,Directed,139,retweeted,Neutral,Yes,Web-App,195,0,2022-06-11 17:33:19+00:00,1
8437,5399,Directed,140,retweeted,Neutral,Yes,iphone,1,0,2022-06-11 17:10:17+00:00,1
3948,2857,Directed,141,retweeted,Neutral,Yes,Android,195,0,2022-06-11 16:58:59+00:00,1
7047,2857,Directed,142,retweeted,Neutral,Yes,Android,195,0,2022-06-11 14:10:56+00:00,1
1654,2942,Directed,143,retweeted,Neutral,Yes,Web-App,13,0,2022-06-11 14:01:31+00:00,1
957,2942,Directed,144,retweeted,Neutral,Yes,iphone,13,0,2022-06-11 13:58:40+00:00,1
12117,2942,Directed,145,retweeted,Neutral,Yes,Android,13,0,2022-06-11 13:57:38+00:00,1
1737,2942,Directed,146,retweeted,Neutral,Yes,Android,13,0,2022-06-11 13:28:14+00:00,1
1737,2857,Directed,147,retweeted,Neutral,Yes,Android,195,0,2022-06-11 13:28:04+00:00,1
8727,6904,Directed,148,retweeted,Neutral,Yes,Android,5,0,2022-06-11 13:21:48+00:00,1
8555,2857,Directed,149,retweeted,Neutral,Yes,Android,195,0,2022-06-11 13:14:41+00:00,1
9075,2857,Directed,150,retweeted,Neutral,Yes,Android,195,0,2022-06-11 13:10:36+00:00,1
8058,2942,Directed,151,retweeted,Neutral,Yes,Web-App,13,0,2022-06-11 13:09:20+00:00,1
122,2857,Directed,152,retweeted,Neutral,Yes,Web-App,195,0,2022-06-11 13:09:14+00:00,1
2919,2857,Directed,153,retweeted,Neutral,Yes,Android,195,0,2022-06-11 13:07:23+00:00,1
12136,2857,Directed,154,retweeted,Neutral,Yes,Android,195,0,2022-06-11 13:06:29+00:00,1
6904,2942,Directed,155,retweeted,Neutral,Yes,iphone,13,0,2022-06-11 13:05:37+00:00,1
6904,11240,Directed,156,quoted,Neutral,Yes,iphone,5,32,2022-06-11 13:05:29+00:00,1
6904,1654,Directed,157,retweeted,Neutral,Yes,iphone,3,0,2022-06-11 13:04:52+00:00,1
6298,5182,Directed,158,retweeted,Neutral,Yes,Web-App,4,0,2022-06-11 13:04:22+00:00,1
6904,5182,Directed,159,retweeted,Neutral,Yes,iphone,4,0,2022-06-11 13:02:45+00:00,1
6904,9977,Directed,160,replied_to,Neutral,No,iphone,0,2,2022-06-10 20:51:21+00:00,1
