Id,Label,unnamed: 0,user_id,user_language,user_country,verified,followers_count,profile_image,splitter_z_value,stat_inf_class,modularity_class,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,Clustering Coefficient,pageranks,clustering,eigencentrality,KatzCentrality
1,grimalkinnoir,1,1000027699010818048,Portuguese,Undefined_(Portuguese),False,98,1000027699010818048.png,0,330,23,0,0,0,0,0,2,2,0,2,2,0,0,7,0.303869,0.322649,0,0,33.05914,0,0,0.001025,1,0.000018,1,0,0
2,buugsprout,2,1000062414631723009,English,Undefined_(English),False,554,1000062414631723009.png,0,21,24,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,488,0,0,0.000454,0,0.000018,0,0,0
3,ButtiMariella,3,1000094172890697728,Portuguese,Undefined_(Portuguese),False,95,1000094172890697728.png,0,30,491,0,0,0,0,0,2,2,0,4,4,0,0,6,0.358309,0.388199,0,0,106.282589,0,0,0.014815,1,0.000018,1,0,0
4,stilinskisses,4,1000134917643276288,Portuguese,United States,False,571,1000134917643276288.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
5,WhelleyIzidro,5,1000161706352537601,Portuguese,Brazil,False,304,1000161706352537601.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
6,museinfrills,6,1000213352755449856,Portuguese,Undefined_(Portuguese),False,170,1000213352755449856.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,4164,0,0,0.014377,0,0.000018,0,0,0
7,DiegoOAnatol,7,1000310054,Spanish,Spain,False,530,1000310054.png,0,799,23,1,0.000074,0.000074,0.000074,2,1,3,2,1,3,842,0.000033,0,0,0,0,0,0.571429,0,0.000032,0,0,0.000021,0.5,0.000449,0
8,umtristeqqr,8,1000417292,English,Undefined_(English),False,141,1000417292.png,0,358,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.322861,0.342961,0,0,272,0,0,0.000442,0,0.000018,0,0,0
9,germanorafaelly,9,1000430886,Portuguese,Brazil,False,869,1000430886.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
10,AlessandroZ0802,10,1000440075652608006,English,Undefined_(English),False,178,1000440075652608006.png,0,331,24,0,0,0,0,0,1,1,0,1,1,0,0,10,0.152366,0.155973,0,0,202,0,0,0.00037,0,0.000018,0,0,0
11,hta_ovg,11,1000444353322549250,Portuguese,Undefined_(Portuguese),False,151,1000444353322549250.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,2369,0,0,0.002955,0,0.000018,0,0,0
